CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA (DIAS),TIPO ALOJAMIENTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Bogotá,Aquitania,Turismo,2,Hotel,8,2
Bogotá,Aquitania,Turismo,1,Hotel,9,2
Bogotá,Tibasosa,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,5,Hotel,10,2
Bogotá,Paipa,Turismo,3,Camping,10,2
Bogotá,Iza,Turismo,2,Hotel,8,2
Bogotá,Aquitania,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,3,Cabaña rural,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Villa de Leyva,Turismo,3,Camping,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Camping,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Camping,10,2
Bogotá,Aquitania,Turismo,5,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,6,2
Bogotá,Aquitania,Turismo,1,Hotel,7,2
Bogotá,Guateque,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,5,Hotel,10,2
Bogotá,El Cocuy,Turismo,3,Hotel,10,2
Bogotá,Villa de Leyva,Turismo,3,Hotel,0,2
Bogotá,Villa de Leyva,Turismo,1,Hotel,0,2
Bogotá,Aquitania,Turismo,4,Hotel,8,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Tibasosa,Turismo,1,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Villa de Leyva,Turismo,1,Hotel,9,2
Bogotá,Aquitania,Turismo,1,Hotel,8,2
Bogotá,Aquitania,Turismo,3,Cabaña rural,10,2
Bogotá,Villa de Leyva,Turismo,3,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Belén,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,3,Hotel,0,2
Bogotá,Aquitania,Turismo,3,Hotel,0,2
Bogotá,Aquitania,Turismo,3,Camping,0,2
Bogotá,Aquitania,Turismo,3,Camping,0,2
Bogotá,Duitama,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,5,Vivienda familiar,7,2
Bogotá,Aquitania,Turismo,5,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,2
Bogotá,Firavitoba,Turismo,3,Camping,10,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Ventaquemada,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,1,Camping,10,2
Bogotá,Paipa,Turismo,3,Cabaña rural,10,2
Bogotá,Duitama,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,4,Hotel,10,2
Bogotá,Tibasosa,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Nobsa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,4,Hotel,10,2
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,4,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Corrales,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,3,Hotel,0,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,4,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,5,Vivienda familiar,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,4,Hotel,10,2
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,2
Bogotá,Nobsa,Turismo,5,Vivienda familiar,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Monguí,Turismo,5,Cabaña rural,10,2
Bogotá,Iza,Turismo,1,Cabaña rural,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,9,2
Bogotá,Nobsa,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,9,2
Bogotá,Tunja,Turismo,3,Hotel,0,2
Bogotá,Duitama,Turismo,3,Vivienda familiar,10,2
Bogotá,Paipa,Turismo,5,Hotel,10,2
Bogotá,Duitama,Turismo,4,Vivienda familiar,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,5,Hotel,10,2
Bogotá,Paipa,Turismo,2,Resort,10,2
Bogotá,Duitama,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,4,Camping,10,2
Bogotá,Aquitania,Turismo,3,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,2
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,2
Bogotá,Boyacá,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,3,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,3,Cabaña rural,10,2
Bogotá,Aquitania,Turismo,5,Hotel,10,2
Bogotá,Aquitania,Turismo,4,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,9,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,5,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,4,Hotel,10,2
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,2
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,5,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Tibasosa,Turismo,1,Hotel,10,2
Bogotá,Boyacá,Turismo,2,Resort,10,2
Bogotá,Aquitania,Turismo,2,Camping,8,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,2,Camping,10,2
Bogotá,Paipa,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,1,Vivienda familiar,9,2
Bogotá,Boyacá,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Camping,10,2
Bogotá,Paipa,Turismo,5,Cabaña rural,10,2
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,2
Bogotá,Iza,Turismo,3,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,9,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,3,Camping,10,2
Bogotá,Duitama,Turismo,3,Cabaña rural,10,2
Bogotá,Aquitania,Turismo,3,Camping,10,2
BOGOTÁ,Tunja,Turismo,1,Otro,10,2
Bogotá,Paipa,Turismo,2,Camping,10,2
Bogotá,Villa de Leyva,Turismo,2,Vivienda familiar,10,3
Bogotá,Aquitania,Turismo,3,Cabaña rural,10,3
Bogotá,Betéitiva,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,3
Bogotá,Aquitania,Turismo,3,Camping,10,3
Bogotá,Aquitania,Turismo,3,Cabaña rural,10,3
Bogotá,Villa de Leyva,Turismo,1,Hotel,8,3
Bogotá,Duitama,Turismo,4,Hotel,10,3
Bogotá,Duitama,Turismo,4,Hotel,10,3
Bogotá,Aquitania,Turismo,5,Hotel,10,3
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,3
Bogotá,Duitama,Turismo,5,Hotel,10,3
Bogotá,Boyacá,Turismo,2,Vivienda familiar,10,3
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,3
Bogotá,Aquitania,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,1,Hotel,10,3
Bogotá,Duitama,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,2,Hotel,8,3
Bogotá,Aquitania,Turismo,1,Hotel,9,3
Bogotá,Aquitania,Turismo,3,Hotel,10,3
Bogotá,Aquitania,Turismo,1,Hotel,10,3
Bogotá,Tibasosa,Turismo,1,Hotel,9,3
Bogotá,Firavitoba,Turismo,2,Hotel,10,3
Bogotá,Tunja,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,1,Hotel,8,3
Bogotá,Iza,Turismo,2,Hotel,10,3
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,3
Bogotá,Iza,Turismo,2,Vivienda familiar,10,3
Bogotá,Aquitania,Turismo,3,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Hotel,8,3
Bogotá,Aquitania,Turismo,3,Hotel,9,3
Bogotá,Aquitania,Turismo,2,Hotel,8,3
Bogotá,Guateque,Turismo,1,Hotel,10,3
Bogotá,Tibasosa,Turismo,2,Hotel,10,3
Bogotá,Duitama,Turismo,2,Hotel,9,3
Bogotá,Duitama,Turismo,2,Hotel,10,3
Bogotá,Villa de Leyva,Turismo,4,Hotel,10,3
Bogotá,Duitama,Turismo,3,Hotel,10,3
Bogotá,Monguí,Turismo,3,Hotel,10,3
Bogotá,Aquitania,Turismo,1,Hotel,10,3
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Hotel,9,3
Bogotá,Aquitania,Turismo,2,Hotel,6,3
Bogotá,Villa de Leyva,Turismo,4,Hotel,10,3
Bogotá,Duitama,Turismo,1,Hotel,5,3
Bogotá,Paipa,Turismo,3,Hotel,10,3
Bogotá,Paipa,Turismo,3,Camping,10,3
Bogotá,Aquitania,Turismo,5,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,1,Hotel,10,3
Bogotá,Paipa,Turismo,3,Hotel,10,3
Bogotá,Paipa,Turismo,3,Hotel,10,3
Bogotá,Guateque,Turismo,7,Cabaña rural,0,3
Bogotá,Duitama,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,3,Hotel,10,3
Bogotá,Corrales,Turismo,3,Vivienda familiar,0,3
Bogotá,Corrales,Turismo,3,Hotel,0,3
Bogotá,Aquitania,Turismo,5,Hotel,10,3
Bogotá,Paipa,Turismo,3,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,3,Hotel,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,1,Hotel,10,3
Bogotá,Paipa,Turismo,3,Hotel,10,3
Bogotá,Aquitania,Turismo,3,Hotel,9,3
Bogotá,Duitama,Turismo,2,Hotel,10,3
Bogotá,Aquitania,Turismo,3,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Hotel,10,3
Bogotá,Monguí,Turismo,4,Hotel,10,3
Bogotá,Duitama,Turismo,2,Hotel,10,3
Bogotá,Paipa,Turismo,3,Cabaña rural,10,3
Bogotá,Aquitania,Turismo,2,Hotel,8,3
Bogotá,Paipa,Turismo,1,Hotel,10,3
Bogotá,Paipa,Turismo,2,Hotel,9,3
Bogotá,Paipa,Turismo,1,Resort,10,3
Bogotá,Duitama,Turismo,1,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,2,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,2,Vivienda familiar,10,3
Bogotá,Paipa,Turismo,2,Hotel,10,3
Bogotá,Duitama,Turismo,4,Cabaña rural,10,3
Bogotá,Iza,Turismo,1,Hotel,10,3
Bogotá,Duitama,Turismo,1,Hotel,10,3
Bogotá,Aquitania,Turismo,2,Hotel,10,3
Bogotá,Duitama,Turismo,3,Vivienda familiar,10,3
Bogotá,Duitama,Turismo,3,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Cabaña rural,10,4
